Sample Reads Reads_HQ SSU.rRNA.alignment.rate LSU.rRNA.alignment.rate Bacterial_Markers.alignment.rate total.enrichmnet.score
F05-04_R1 27209046 27208287 0.339256933007212 0.807070287078345 0.592723827119289 0.657027206168911
F05-05_R1 31569879 31566054 0.288990825397435 0.552935758140691 0.462538016313347 0.85557826072423
F05-06_R1 29165104 29164538 0.443627805796204 0.967778059779311 0.541431515218928 0.547922254015498
F05-09_R1 32574600 32573167 0.113661038854466 0.415335727103232 0.174729709272666 1.27671929308703
F05-10_R1 27381188 27380358 0.332786006669453 0.812363373773272 0.434271166213386 0.652746237731075
F05-16_R1 23627743 23626667 0.013146162342746 0.007025959268821 0.005095936722687 18.8080948121891
F05-17_R1 23913927 23912351 0.009292269087218 0.00629381862118 0.003922659047619 26.6085996259961
F05-18_R1 29202017 29201652 0.266207541956873 0.772942571879153 0.320540084513027 0.686036912951835
F05-19_R1 30417843 30417505 0.527765179951479 1.25514896767503 0.670469191999804 0.422473466940952
F05-31A_R1 28386734 28384683 0.021212144592209 0.027867142289382 0.013951186278882 11.6562597753373
F05-31B_R1 23507131 23505956 0.013417875877927 0.012622332824923 0.008193668021841 18.4272287214664
F06-01_R1 25842372 25839520 0.243348173650284 0.440666080484467 0.624659436398199 1.01605146260159
F06-02_R1 33995829 33991356 0.278123650024436 0.48523807052593 0.575719897729293 0.889008423904524
F06-03_R1 28759744 28757296 0.245770673292788 0.437562001656901 0.504275506292386 1.00603649917271
F06-04_R1 25712471 25710678 0.19360049548285 0.352258310729884 0.235621946648004 1.27713654421251
F06-05_R1 33105094 33101973 0.209280576719702 0.403516732975403 0.721682058045301 0.971192996955028
F06-06_R1 33516751 33515585 0.248123373051671 0.641755171512 0.348554262144015 0.82627637367019
F06-07_R1 33779310 33775624 0.204845956361902 0.420557737142029 0.599716529293434 1.16870642472946
F06-08_R1 26326263 26325123 0.189378032535688 0.426288606514773 0.270414690939906 1.24391580679661
F06-09_R1 26116189 26114569 0.399125867250576 0.708447457049741 1E-06 0.619489459458081
F06-10_R1 26363804 26363032 0.532761178607984 1.07123110877383 0.757545641942854 0.46409963354468
F06-16_R1 22716583 22714752 0.094480450413899 0.16285892093385 0.107247483925865 2.61698866459283
F06-17_R1 26288163 26285927 0.123864758507471 0.225424806209041 0.177174653189899 1.99616316003139
F06-18_R1 29681985 29681500 1.04596128901841 1.71266950794266 1.17384229233698 0.236389501556825
F06-19_R1 32308294 32307845 0.561900677683702 1.32278398636616 0.763108774354959 0.400872055729773
F06-31A_R1 28360742 28358424 0.136562596003219 0.237580198391843 0.16736473084682 1.81055629429429
F06-31B_R1 26548862 26546945 0.138068617688401 0.244272928579918 0.157287401620036 1.79080715008541
F07-01_R1 28759879 28758397 0.246543644278921 0.452497404497198 0.699590453529103 1.0018612421968
F07-02_R1 34083638 34078104 0.301480974411018 0.529964929973804 0.680278456806165 0.820132242977655
F07-03_R1 31115861 31114104 0.474190097198364 0.870428407644327 0.552485779439446 0.521424359596791
F07-04_R1 26767377 26765227 0.487307654816453 0.98637310268282 0.591136402467276 0.507388433805594
F07-05_R1 29831048 29827687 0.426201334350867 0.817897814201953 0.5891908413817 0.580134898299607
F07-06_R1 31766413 31765197 0.744484600551981 1.62821278898412 0.531229194013813 0.325674346429788
F07-16_R1 24694802 24693841 0.01753473669811 0.000575042173472 0.000518347874679 14.1008258074068
F07-17_R1 22100526 22099532 0.016814835716883 0.001375594741101 0.001000021176919 14.7045306848011
F07-18_R1 24243642 24242684 0.25543788798303 0.584196865330588 1E-06 0.907685691878809
F07-19_R1 22713184 22712316 0.35519054947985 0.756338543370038 0.275797501232371 0.696117247829037
F07-31A_R1 24619434 24618049 0.013591653830895 0.000442764574886 0.000503695479686 18.1916248629563
F07-31B_R1 24179690 24178258 0.011572380441966 0.000628663983981 0.000670023456611 21.3658952018344
DC18-01_R1 60907897 60907897 0.291359591679877 0.431847121564548 0.513928431973279 0.261642308990811
DC18-02_R1 59412344 59412344 0.386014057954017 0.764923531715901 0.791840496984936 0.172717563045542
DC18-032_R1 13175831 13175831 0.325497496135158 0.635952297809527 0.815629769386083 0.207744714138496
DC18-04-AC_R1 60299489 60299489 0.447207769870156 0.934868618870054 1.02826078675393 0.14132010172065
DC18-04-AR_R1 69884032 69884032 0.393559146673163 0.806580536165973 0.914673898609628 0.163797317676625
DC18-04-BC_R1 47762662 47762662 0.404146234562889 0.838565069928472 0.925289716892245 0.157549763342073
DC18-04-BR_R1 57657451 57657451 0.435005356029353 0.901722138219395 0.979585448548532 0.146514899340328
DC18-05_R1 51893044 51893044 0.387339004433812 0.656249804887144 0.665129607737022 0.196809501344111
DC18-06_R1 59144941 59144941 0.415384639575513 0.732436270415757 0.853339256860532 0.180378462469051
DC18-07_R1 42236550 42236550 0.380461945873894 0.577379070970522 0.752073737083166 0.200366941136895
DC18-08_R1 62974672 62974672 0.404751611886125 0.645035515230631 0.707555888500698 0.188342662697513
DC18-09_R1 56753203 56753203 0.234208807562808 0.412048990433192 0.642818344543479 0.320631117613624
DC18-10_R1 54050785 54050785 0.196920359251027 0.348969954830443 0.648477168277944 0.378587687809262
DC18-11_R1 58721610 58721610 0.328803995667013 0.535867460037284 0.636811558811143 0.231846319747723
DC18-12_R1 53326274 53326274 0.451128462491116 0.740166095234781 0.778261762672562 0.168980684332778
DC18-14_R1 5519511 5519511 0.326061493490999 0.521531708153132 0.678465900330663 0.233796378399547
DC18-15_R1 97181 97181 0.500097755734145 0.765581749518939 0.627694713987302 0.152434189995182
