gene	Family
blaVIM-51	Beta-lactam
blaVIM-52	Beta-lactam
blaVIM-54	Beta-lactam
blaVIM-56	Beta-lactam
blaVIM-57	Beta-lactam
blaVIM-6	Beta-lactam
blaVIM-7	Beta-lactam
blaVIM-9	Beta-lactam
cfr	Oxazolidinone
cfr	Oxazolidinone
cfr(B)	Oxazolidinone
cfr(B)	Oxazolidinone
cfr(B)	Oxazolidinone
cfr(C)	Oxazolidinone
cfr(C)	Oxazolidinone
cmr	Multidrug
crpP	Quinolone
dldHA2X	Glycopeptide
ere(A)	MLSP
ere(A)	MLSP
ere(A)	MLSP
ere(A)	MLSP
ere(A)	MLSP
ere(A)	MLSP
ere(B)	MLSP
ere(B)	MLSP
ere(D)	MLSP
erm(30)	MLSP
erm(31)	MLSP
erm(33)	MLSP
erm(34)	MLSP
erm(35)	MLSP
erm(36)	MLSP
erm(37)	MLSP
erm(38)	MLSP
erm(39)	MLSP
erm(40)	MLSP
erm(41)	MLSP
erm(42)	MLSP
erm(42)	MLSP
erm(43)	MLSP
erm(44)	MLSP
erm(47)	MLSP
erm(A)	MLSP
erm(A)	MLSP
erm(A)	MLSP
erm(B)	MLSP
erm(B)	MLSP
erm(B)	MLSP
erm(B)	MLSP
erm(B)	MLSP
erm(B)	MLSP
erm(B)	MLSP
erm(B)	MLSP
erm(B)	MLSP
erm(B)	MLSP
erm(B)	MLSP
erm(B)	MLSP
erm(B)	MLSP
erm(B)	MLSP
erm(B)	MLSP
erm(C)	MLSP
erm(C)	MLSP
erm(C)	MLSP
erm(C)	MLSP
erm(C)	MLSP
erm(C)	MLSP
erm(C)	MLSP
erm(C)	MLSP
erm(C)	MLSP
erm(C)	MLSP
erm(D)	MLSP
erm(D)	MLSP
erm(D)	MLSP
erm(E)	MLSP
erm(E)	MLSP
erm(F)	MLSP
erm(F)	MLSP
erm(F)	MLSP
erm(G)	MLSP
erm(G)	MLSP
erm(H)	MLSP
erm(N)	MLSP
erm(O)	MLSP
erm(O)	MLSP
erm(Q)	MLSP
erm(R)	MLSP
erm(S)	MLSP
erm(T)	MLSP
erm(T)	MLSP
erm(T)	MLSP
erm(T)	MLSP
erm(U)	MLSP
erm(V)	MLSP
erm(W)	MLSP
erm(X)	MLSP
erm(X)	MLSP
erm(X)	MLSP
erm(X)	MLSP
erm(Y)	MLSP
erm(Z)	MLSP
mcr-1	Polymyxin
mcr-1	Polymyxin
mcr-1	Polymyxin
mcr-1	Polymyxin
mcr-1	Polymyxin
mcr-1	Polymyxin
mcr-1	Polymyxin
mcr-1	Polymyxin
mcr-1	Polymyxin
mcr-1	Polymyxin
mcr-1	Polymyxin
mcr-1	Polymyxin
mcr-1	Polymyxin
mcr-1	Polymyxin
mcr-2	Polymyxin
mcr-2	Polymyxin
mcr-3	Polymyxin
mcr-3	Polymyxin
