resfinder_code	Sample_ule	Reads_code	Partner	Partner_code	Industry_code	Dataset_ID	UNITN_seq_ID	Industry_type	Industry_type2	Surface	Surface2	rindcore	Room	Ripening.time	Host	Product_type	Total_reads	Contigs	MAGs
Q02.05	WP4-ULEE-Q02-05	Q02-05_R1	ULE	Q02 B1	Q02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q02-05	Cheese_Dairy	Soft_cheese	Non_food_contact	-	-	Ripening	-	Goat	Soft cheese	320869	66954	33
Q02.06	WP4-ULEE-Q02-06	Q02-06_R1	ULE	Q02 B2	Q02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q02-06	Cheese_Dairy	Soft_cheese	Food_contact	-	-	Ripening	-	Goat	Soft cheese	743485	46602	3
Q02.09	WP4-ULEE-Q02-09	Q02-09_R1	ULE	Q02 C1	Q02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q02-09	Cheese_Dairy	Soft_cheese	Non_food_contact	-	-	Packing	-	Goat	Soft cheese	229973	52269	15
Q02.10	WP4-ULEE-Q02-10	Q02-10_R1	ULE	Q02 C2	Q02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q02-10	Cheese_Dairy	Soft_cheese	Food_contact	-	-	Packing	-	Goat	Soft cheese	325660	77743	22
Q02.11	WP4-ULEE-Q02-11	Q02-11_R1	ULE	Q02 A2	Q02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q02-11	Cheese_Dairy	Soft_cheese	Food_contact	-	-	Processing	-	Goat	Soft cheese	301324	32251	12
Q02.12	WP4-ULEE-Q02-12	Q02-12_R1	ULE	Q02 A3	Q02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q02-12	Cheese_Dairy	Soft_cheese	Food_contact	-	-	Processing	-	Goat	Soft cheese	331477	60186	13
Q02.13	WP4-ULEE-Q02-13	Q02-13_R1	ULE	Q02 A4	Q02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q02-13	Cheese_Dairy	Soft_cheese	Food_contact	-	-	Processing	-	Goat	Soft cheese	278924	27829	10
Q02.20	WP4-ULEE-Q02-20	Q02-20_R1	ULE	Q02 A7	Q02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q02-20	Cheese_Dairy	Soft_cheese	Raw_materials	Milk	-	Raw_material	-	Goat	Soft cheese	3445836	219122	0
Q02.21	WP4-ULEE-Q02-21	Q02-21_R1	ULE	Q02 A5	Q02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q02-21	Cheese_Dairy	Soft_cheese	Raw_materials	Whey	-	Raw_material	-	Goat	Soft cheese	241527	4264	4
Q02.23	WP4-ULEE-Q02-23	Q02-23_R1	ULE	Q02 E1 2	Q02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q02-23	Cheese_Dairy	Soft_cheese	Before_ripening	-	core	Final_product	-	Goat	Soft cheese	1064202	35783	7
Q02.24	WP4-ULEE-Q02-24	Q02-24_R1	ULE	Q02 E2 2	Q02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q02-24	Cheese_Dairy	Soft_cheese	Before_ripening	-	core	Final_product	-	Goat	Soft cheese	1205241	33235	5
Q02.25	WP4-ULEE-Q02-25	Q02-25_R1	ULE	Q02 E1 1	Q02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q02-25	Cheese_Dairy	Soft_cheese	Before_ripening	-	rind	Final_product	-	Goat	Soft cheese	1233425	30069	5
Q02.26	WP4-ULEE-Q02-26	Q02-26_R1	ULE	Q02 E2 1	Q02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q02-26	Cheese_Dairy	Soft_cheese	Before_ripening	-	rind	Final_product	-	Goat	Soft cheese	1323399	46075	5
Q02.27	WP4-ULEE-Q02-27	Q02-27_R1	ULE	Q02 F1 2	Q02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q02-27	Cheese_Dairy	Soft_cheese	Final_product	-	core	Final_product	15 days	Goat	Soft cheese	1693180	28053	8
Q02.28	WP4-ULEE-Q02-28	Q02-28_R1	ULE	Q02 F2 2	Q02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q02-28	Cheese_Dairy	Soft_cheese	Final_product	-	core	Final_product	15 days	Goat	Soft cheese	631947	24360	10
Q02.29	WP4-ULEE-Q02-29	Q02-29_R1	ULE	Q02 F1 1	Q02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q02-29	Cheese_Dairy	Soft_cheese	Final_product	-	rind	Final_product	15 days	Goat	Soft cheese	634697	37442	7
